safe_anchor,domain_in_title,google_index,page_rank,status
36.36363636,1,0,7,1
25.0,1,0,2,0
20.0,1,1,7,1
21.95121951,1,0,5,1
0.0,1,1,2,0
71.79487179,1,1,5,1
100.0,1,1,0,0
51.61290323,1,0,6,1
73.33333333,1,0,4,1
0.0,1,1,0,0
0.0,1,1,1,0
100.0,1,1,10,0
0.0,1,1,0,0
0.0,1,0,5,1
0.0,1,1,3,1
0.0,1,1,0,0
0.0,0,1,6,0
0.0,1,0,4,1
11.11111111,1,0,1,1
25.0,1,1,5,0
0.0,0,1,0,0
100.0,1,1,1,0
25.0,1,0,8,1
14.54545455,1,0,5,1
0.0,1,1,2,0
59.09090909,0,1,2,0
50.0,0,0,0,1
75.0,0,0,2,1
100.0,1,1,0,0
100.0,1,1,0,0
0.0,1,0,4,1
0.0,1,1,2,0
25.0,1,0,4,1
85.71428571,1,1,0,0
75.0,1,1,6,1
83.63636364,1,0,5,1
65.79572447,0,0,7,1
0.0,1,0,1,0
0.0,1,1,2,0
91.26984127,1,0,4,1
50.0,1,0,4,1
30.3030303,1,0,4,1
0.0,1,1,0,0
93.42105263,1,0,4,1
0.0,1,1,0,0
100.0,1,1,0,0
0.0,1,1,0,0
0.0,1,1,0,0
0.0,1,1,0,0
0.0,1,1,2,0
0.0,0,1,6,0
0.0,1,1,0,0
88.88888889,1,1,0,0
100.0,1,1,0,0
25.92592593,1,0,5,1
0.0,1,1,1,0
34.375,1,0,4,1
12.85714286,1,0,5,1
0.0,1,1,3,0
90.90909091,1,1,4,1
55.17241379,1,0,6,1
0.0,1,1,0,0
0.0,0,0,10,0
4.761904762,1,0,5,1
58.75,1,0,5,1
0.0,0,0,0,0
0.0,1,1,10,0
0.0,1,1,0,0
100.0,1,1,0,0
0.0,1,0,5,1
88.0,1,1,0,0
25.0,1,1,5,0
93.75,1,0,5,1
97.46835443,0,1,2,0
100.0,1,1,0,0
20.0,1,0,4,1
100.0,1,1,0,0
31.03448276,1,0,5,1
91.52542373,1,0,5,1
63.63636364,0,0,5,1
25.0,0,0,1,1
0.0,1,1,7,1
100.0,1,1,0,0
22.22222222,1,0,5,1
0.0,0,1,5,0
25.0,1,1,5,0
85.71428571,1,0,4,1
0.0,1,0,1,0
16.66666667,0,0,6,1
0.0,1,1,2,0
0.0,1,1,1,0
0.0,1,1,0,0
23.07692308,1,0,3,1
0.0,0,0,6,1
85.71428571,0,0,2,1
100.0,1,1,2,0
50.0,1,0,4,1
87.27272727,0,0,4,1
0.0,1,1,2,1
25.0,0,1,5,1
65.0,0,0,7,1
0.0,1,0,5,1
35.0,0,0,5,1
100.0,1,1,1,0
11.11111111,1,1,0,0
17.39130435,1,0,3,1
0.0,1,1,0,0
75.0,1,0,3,1
0.0,0,0,6,1
100.0,1,1,6,0
0.0,1,1,3,0
0.0,0,1,0,0
30.43478261,1,0,4,1
0.0,0,0,3,0
0.0,1,1,3,0
100.0,1,1,2,0
0.0,1,1,1,0
94.44444444,0,0,7,1
46.66666667,1,0,4,1
0.0,0,1,3,0
100.0,1,1,4,1
0.0,1,0,0,0
25.0,1,1,5,0
100.0,1,1,0,0
66.66666667,1,1,0,0
46.66666667,1,1,0,0
11.53846154,1,0,5,1
58.82352941,0,1,0,0
0.0,1,1,2,0
100.0,0,0,2,0
71.42857143,1,0,0,0
0.0,1,1,3,0
100.0,0,0,4,0
0.0,0,1,2,1
50.0,0,1,2,1
29.16666667,1,0,6,1
100.0,1,0,5,1
0.0,1,1,0,0
81.25,1,0,5,1
100.0,1,1,2,0
12.5,0,0,2,1
100.0,1,1,0,0
100.0,1,1,2,0
0.0,1,0,8,1
0.0,1,0,0,0
44.44444444,1,0,5,1
0.0,1,0,1,0
0.0,1,1,0,0
93.23308271,1,0,6,1
16.66666667,0,0,5,1
0.0,0,0,4,1
0.0,1,1,0,0
100.0,1,1,0,0
100.0,1,1,2,0
20.0,1,0,3,1
60.0,0,0,2,1
0.0,1,0,6,0
100.0,1,1,3,0
33.33333333,0,0,5,1
10.60606061,1,1,5,1
0.0,1,1,3,0
75.0,1,0,3,1
100.0,1,0,3,1
100.0,1,1,2,0
0.0,1,1,0,0
